kod_lakma;kategorie_excel;kod_lakma_full;kod_pl;kod_celni;ean_ks;ean_krt;nazev_zkraceny;objem;zaruka_dny;karton_ks;vrstva_ks;vrstva_krt;vrstva_pocet;paleta_ks;paleta_krt;hmotnost_vyrobek_kg;hmotnost_karton_kg;hmotnost_paleta_kg;rozmer_karton_delka_m;rozmer_karton_hloubka_m;rozmer_karton_vyska_m;vyrobek_delka_cm;vyrobek_hloubka_cm;vyrobek_vyska_cm
1010166;SIDOLUX PREMIUM FLOOR CARE;01010166;121-01-021-0403;3402209000;5902986212994;/;SDX PFC VINYL, DLAŽBA MARSEILL 5000ml;5000ml;1080;1;30;30;3;90;90;5.1;5.1;459.0;-;-;-;19;15.5;24
1010159;SIDOLUX PREMIUM FLOOR CARE;01010159;121-01-011-0033;3402209000;5902986210396;/;SDX PFC VINYL, DLAŽBA YLANG 5000ml;5000ml;1080;1;30;30;3;90;90;5.1;5.1;459.0;-;-;-;19;15.5;24
1010501;SIDOLUX UNIVERSAL;01010501;121-01-021-0118;3402909000;5902986203541;5902986205606;SDX UNIVERSAL MARSEILL 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010502;SIDOLUX UNIVERSAL;01010502;121-01-021-0116;3402909000;5902986203565;5902986205613;SDX UNIVERSAL FRESH LEMON 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010504;SIDOLUX UNIVERSAL;01010504;121-01-021-0236;3402909000;5902986208072;5902986208089;SDX UNIVERSAL LILLY OF THE VALLEY 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010506;SIDOLUX UNIVERSAL;01010506;121-01-021-0156;3402909000;5902986204449;5902986204456;SDX UNIVERSAL BLUE FLOWER 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010507;SIDOLUX UNIVERSAL;01010507;121-01-021-0372;3402909000;5902986292811;5902986292828;SDX UNIVERSAL MARSEILL+LEV 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010509;SIDOLUX UNIVERSAL;01010509;121-01-021-0179;3402909000;5902986204067;5902986204074;SDX UNIVERSAL GREEN GRAPES 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010511;SIDOLUX UNIVERSAL;01010511;121-01-021-0210;3402909000;5902986207198;5902986207204;SDX UNIVERSAL PINK CREAM 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010525;SIDOLUX UNIVERSAL;01010525;121-01-021-0134;3402909000;5902986201424;5902986201431;SDX UNIVERSAL JAPANESE CHERRY 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010520;SIDOLUX UNIVERSAL;01010520;121-01-021-0427;3402909000;5902986215162;5902986215179;SDX UNIVERSAL BALTIC AMBER 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010521;SIDOLUX UNIVERSAL;01010521;121-01-021-0426;3402909000;5902986215148;5902986215155;SDX UNIVERSAL FLAX BLOSSOM 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010522;SIDOLUX UNIVERSAL;01010522;121-01-021-0429;3402909000;5902986215209;5902986215216;SDX UNIVERSAL LEMONGRASS 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010523;SIDOLUX UNIVERSAL;01010523;121-01-021-0428;3402909000;5902986215186;5902986215193;SDX UNIVERSAL GREEN TEA+CHERRY 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010524;SIDOLUX UNIVERSAL;01010524;121-01-021-0430;3402909000;5902986215551;5902986215568;SDX UNIVERSAL COTTON WITH PEONY 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010519;SIDOLUX UNIVERSAL;01010519;121-01-021-0251;3402909000;5907542750866;5907542750873;SDX UNIVERSAL WINTER TIME 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010503;SIDOLUX UNIVERSAL;01010503;121-01-021-0446;3402909000;5902986217333;5902986217340;SDX UNIVERSAL SUMMER TIME 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010505;SIDOLUX UNIVERSAL;01010505;121-01-021-0447;3402909000;5902986217357;5902986217364;SDX UNIVERSAL MAGNOLIA 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010508;SIDOLUX UNIVERSAL;01010508;121-01-021-0449;3402909000;5902986217395;5902986217401;SDX UNIVERSAL ORANGE 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010510;SIDOLUX UNIVERSAL;01010510;121-01-021-0448;3402909000;5902986217371;5902986217388;SDX UNIVERSAL MAGIC NIGHT 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010526;SIDOLUX UNIVERSAL;01010526;121-01-021-0458;3402909000;5902986217920;5902986217937;SDX UNIVERSAL WINTER MAGIC 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010528;SIDOLUX UNIVERSAL;01010528;121-01-021-0440;3402909000;5902986216275;5902986216282;SDX UNIVERSAL ARGAN MARSEILL 1000ml;1000ml;1080;12;120;10;4;480;40;1.1;13.2;528;0.375;0.235;0.28;12;6;27.5
1010551;SIDOLUX UNIVERSAL;01010551;121-99-001-0096;3402909000;5902986216251;5902986216251;SDX UNIVERSAL MIX KARTON LIDL;1000ml;1080;10;100;10;5;500;50;1.1;12.5;625;0.33;0.25;0.29;12;6;27.5
1010517;SIDOLUX UNIVERSAL;01010517;131-01-021-0009;3402909000;5902986209802;/;SDX UNIVERSAL BLUE FLOWER 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010513;SIDOLUX UNIVERSAL;01010513;131-01-021-0004;3402909000;5902986205286;/;SDX UNIVERSAL MARSEILL 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010527;SIDOLUX UNIVERSAL;01010527;131-01-021-0005;3402909000;5902986200595;/;SDX UNIVERSAL JAPANESE CHERRY 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010512;SIDOLUX UNIVERSAL;01010512;131-01-021-0008;3402909000;5907542749907;/;SDX UNIVERSAL FRESH LEMON 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010514;SIDOLUX UNIVERSAL;01010514;131-01-021-0007;3402909000;5902986204302;/;SDX UNIVERSAL GREEN GRAPES 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010518;SIDOLUX UNIVERSAL;01010518;131-01-021-0022;3402909000;5902986216145;/;SDX UNIVERSAL COTTON WITH PEONY 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010515;SIDOLUX UNIVERSAL;01010515;131-01-021-0023;3402909000;5902986217623;/;SDX UNIVERSAL MARSEILL+LEV 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1010560;SIDOLUX UNIVERSAL;01010560;131-01-021-0014;3402909000;5902986213236;/;SDX UNIVERSAL MARSEILL 10000ml;10000ml;1080;1;20;20;2;40;40;10.432;10.432;417.28;-;-;-;23;18.5;31.5
1010561;SIDOLUX UNIVERSAL;01010561;131-01-021-0015;3402909000;5902986213243;/;SDX UNIVERSAL MARSEILL 20000ml;20000ml;1080;1;12;12;2;24;24;20.968;20.968;503.232;-;-;-;29;25.5;36
1011002;SIDOLUX EXPERT venkovní použití;01011002;121-01-004-0019;3209100000;5902986210792;5902986210808;SDX LESK VENKOVNÍ KÁMEN,DLAŽBA 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.276;11.5;5.15;27
1011003;SIDOLUX EXPERT venkovní použití;01011003;131-01-041-0013;3402909000;5902986261060;5902986261077;SDX DUOPACK NÁHROBNÍ KÁMEN 330+250 ml;330+250;1080;6;120;20;5;600;100;0.6;3.6;360;0.25;0.15;0.16;15;4;16
1011004;SIDOLUX EXPERT venkovní použití;01011004;121-01-004-0005;3209100000;5902986202025;/;SDX LESK VENKOVNÍ KÁMEN,DLAŽBA 5000ml;5000ml;1080;1;30;30;3;90;90;5.1;5.1;459.0;-;-;-;19;15.5;24
1011501;SIDOLUX M péče o nábytku;01011501;121-01-033-0028;3405200000;5902986261107;5902986261114;SDX M RENOVACE MLÉKO MANDLE 300ml;300ml;1080;15;240;16;5;1200;80;0.4;6;480;0.24;0.16;0.19;8;4;18.5
1011517;SIDOLUX M péče o nábytku;01011517;121-01-032-0066;3405200000;5902986216176;5902986216183;SDX NÁBYTEK JAPANESE CHERRY 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011508;SIDOLUX M péče o nábytku;01011508;121-01-032-0048;3405200000;5902986201905;5902986201912;SDX NÁBYTEK MARSEILL-CLASSIC 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011509;SIDOLUX M péče o nábytku;01011509;121-01-032-0049;3405200000;5902986222207;5902986222214;SDX NÁBYTEK PEPPER&CARDAMON 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011510;SIDOLUX M péče o nábytku;01011510;121-01-032-0060;3405200000;5902986210068;5902986210075;SDX NÁBYTEK MAGNOLIA 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011512;SIDOLUX M péče o nábytku;01011512;121-01-032-0058;3405200000;5902986207310;5902986207327;SDX NÁBYTEK ALOE 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011515;SIDOLUX M péče o nábytku;01011515;121-01-032-0053;3405200000;5902986292514;5902986292521;SDX NÁBYTEK BALTIC AMBER 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011516;SIDOLUX M péče o nábytku;01011516;121-01-032-0062;3405200000;5902986292859;5902986292866;SDX NÁBYTEK MARSEILL+LEVANDULE 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011511;SIDOLUX M péče o nábytku;01011511;121-01-032-0059;3405200000;5902986212062;5902986212079;SDX NÁBYTEK DŘEVO MANDLE 400ml;400ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.275;11;5.2;25.5
1011502;SIDOLUX M péče o nábytku;01011502;121-01-031-0198;3402509000;5902986212260;5902986212277;SDX NÁBYTEK SPREJ ALOE 350ml;350ml;1080;15;240;16;4;960;64;0.43;6.445;412.48;0.29;0.19;0.26;5.5;5.5;25
1011503;SIDOLUX M péče o nábytku;01011503;121-01-031-0199;3402509000;5902986212284;5902986212291;SDX NÁBYTEK DŘEVO SPREJ MANDLE 350ml;350ml;1080;15;240;16;4;960;64;0.43;6.445;412.48;0.29;0.19;0.26;5.5;5.5;25
1011518;SIDOLUX M péče o nábytku;01011518;121-01-033-0004;3405200000;5902986204609;5902986204593;SDX RYCHLOČISTIČ KŮŽE 200ml;200ml;1080;16;272;17;6;1632;102;0.247;3.95;402.9;0.36;0.14;0.21;6.8;4.3;19.3
1011901;SIDOLUX PROFFESIONAL;01011901;121-01-061-0009;3402909000;5902986201462;5902986201479;SDX PROFESSIONAL LCD 200ml;200ml;1080;16;272;17;6;1632;102;0.247;3.95;402.9;0.36;0.14;0.21;6.8;4.3;19.3
1011908;SIDOLUX PROFFESIONAL;01011908;131-01-061-0090;3402909000;5902986208003;5902986208010;SDX PROFESSIONAL DVOUFÁZOVÝ 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
