kod_lakma;kategorie_excel;kod_lakma_full;kod_pl;kod_celni;ean_ks;ean_krt;nazev_zkraceny;objem;zaruka_dny;karton_ks;vrstva_ks;vrstva_krt;vrstva_pocet;paleta_ks;paleta_krt;hmotnost_vyrobek_kg;hmotnost_karton_kg;hmotnost_paleta_kg;rozmer_karton_delka_m;rozmer_karton_hloubka_m;rozmer_karton_vyska_m;vyrobek_delka_cm;vyrobek_hloubka_cm;vyrobek_vyska_cm
1013614;PERLUX PRACÍ KAPSLE;01013614;121-10-001-0320;34025090;5902986211201;5902986211218;SDX MULTICAPS WHITE 10ks;10ks;1080;12;72;6;7;504;42;0.34;4.08;171.36;0.4;0.31;0.195;19.5;9.5;9.5
1013615;PERLUX PRACÍ KAPSLE;01013615;121-10-001-0319;34025090;5902986211225;5902986211232;SDX MULTICAPS COLOR 10ks;10ks;1080;12;72;6;7;504;42;0.34;4.08;171.36;0.4;0.31;0.195;19.5;9.5;9.5
1013617;PERLUX PRACÍ KAPSLE;01013617;121-10-001-0358;34025090;5902986215254;5902986215261;SDX MULTICAPS COLOR 10ks pell-off;10ks;1080;12;72;6;7;504;42;0.34;4.08;171.36;0.4;0.31;0.195;19.5;9.5;9.5
1013616;PERLUX PRACÍ KAPSLE;01013616;121-10-001-0321;34025090;5902986211249;5902986211256;SDX MULTICAPS BLACK 10ks;10ks;1080;12;72;6;7;504;42;0.34;4.08;171.36;0.4;0.31;0.195;19.5;9.5;9.5
1013623;PERLUX PRACÍ KAPSLE;01013623;121-10-001-0380;34025090;5902986216534;5902986216541;SDX MULTICAPS WHITE DOYPACK 10ks;10ks;1080;12;72;6;6;432;36;0.24;3.29;118.44;0.368;0.325;0.22;18;7;22
1013624;PERLUX PRACÍ KAPSLE;01013624;121-10-001-0381;34025090;5902986216558;5902986216565;SDX MULTICAPS COLOR DOYPACK 10ks;10ks;1080;12;72;6;6;432;36;0.24;3.29;118.44;0.368;0.325;0.22;18;7;22
1013625;PERLUX PRACÍ KAPSLE;01013625;121-10-001-0382;34025090;5902986216572;5902986216589;SDX MULTICAPS BLACK DOYPACK 10ks;10ks;1080;12;72;6;6;432;36;0.24;3.29;118.44;0.368;0.325;0.22;18;7;22
1013618;PERLUX PRACÍ KAPSLE;01013618;121-10-001-0358;34025090;5902986214349;5902986214356;SDX MULTICAPS WHITE 30ks;30ks;1080;16;96;6;4;384;24;0.71;12.6;302.4;0.4;0.34;0.284;19.8;10;14
1013619;PERLUX PRACÍ KAPSLE;01013619;121-10-001-0359;34025090;5902986214363;5902986214370;SDX MULTICAPS COLOR 30ks;30ks;1080;16;96;6;4;384;24;0.71;12.6;302.4;0.4;0.34;0.284;19.8;10;14
1013620;PERLUX PRACÍ KAPSLE;01013620;121-10-001-0360;34025090;5902986214387;5902986214394;SDX MULTICAPS BLACK  30ks;30ks;1080;16;96;6;4;384;24;0.71;12.6;302.4;0.4;0.34;0.284;19.8;10;14
1013610;PERLUX PRACÍ KAPSLE;01013610;121-10-001-0136;34025090;5907542746180;5907542746197;PERLUX SUPER COMPACT WHITE 32ks;32ks;1080;10;60;6;6;360;36;0.776;7.76;279.36;0.395;0.39;0.23;23.5;10;28.5
1013611;PERLUX PRACÍ KAPSLE;01013611;121-10-001-0137;34025090;5907542746203;5907542746210;PERLUX SUPER COMPACT COLOR 32ks;32ks;1080;10;60;6;6;360;36;0.776;7.76;279.36;0.395;0.39;0.23;23.5;10;28.5
1013804;PERLUX PERFUME AVIVÁŽE;01013804;131-10-000-0045;34025090;5907542746326;5907542746333;PERLUX AVIVÁŽ ELEGANCE 1000ml;1000ml;720;10;100;10;4;400;40;1.265;12.65;506;0.34;0.25;0.3;12.6;6.9;28.5
1013805;PERLUX PERFUME AVIVÁŽE;01013805;131-10-000-0046;34025090;5907542746340;5907542746357;PERLUX AVIVÁŽ GLAMOURE 1000ml;1000ml;720;10;100;10;4;400;40;1.265;12.65;506;0.34;0.25;0.3;12.6;6.9;28.5
1013806;PERLUX PERFUME AVIVÁŽE;01013806;131-10-000-0047;34025090;5907542746302;5907542746319;PERLUX AVIVÁŽ PASSION 1000ml;1000ml;720;10;100;10;4;400;40;1.265;12.65;506;0.34;0.25;0.3;12.6;6.9;28.5
1013612;SIDOLUX POWER GEL;01013612;131-10-003-0011;34025090;5902986291111;5902986291128;SDX POWER GEL WHITE 1,92l;1920ml;1080;4;56;14;4;224;56;2.09;8.4;470.4;0.54;0.16;0.34;16;7;33
1013613;SIDOLUX POWER GEL;01013613;131-10-003-0012;34025090;5902986291098;5902986291104;SDX POWER GEL COLOR 1,92l;1920ml;1080;4;56;14;4;224;56;2.09;8.4;470.4;0.54;0.16;0.34;16;7;33
1013602;SIDOLUX ODSTRAŇOVAČ SKVRN;01013602;121-01-075-0001;3402509000;5902986214769;5902986214776;SDX ODSTRAŇOVAČ SKVRN KARTÁČEK 250ml;250ml;1080;15;300;20;5;1500;100;0.289;4.34;434;0.24;0.18;0.206;4.7;5.8;20
1013601;SIDOLUX ODSTRAŇOVAČ SKVRN;01013601;121-01-075-0008;32091000;5902986213113;5902986213120;SDX ODSTRAŇOVAČ SKVRN 500ml;500ml;1080;10;150;15;4;600;60;0.56;5.9;354;0.265;0.225;0.28;10.5;5.2;26
1013603;SIDOLUX LOUNDRY ADDITIVE;01013603;121-01-075-0007;32091000;5902986214783;5902986214790;SDX LOUNDRY ADDITIVE 3v1 1000ml;1000ml;1080;10;90;9;5;450;45;1;10.67;480.15;0.284;0.247;0.255;12.4;7.5;24.1
1013502;SILUX WC;01013502;131-06-005-0021;3402909000;5907542740782;5907542740799;SILUX WC GEL REZ A KÁMEN LEMON 1000ml;1000ml;1080;8;128;16;4;512;64;1.087;8.7;556.8;0.17;0.26;0.31;9.5;7;30.5
1013505;SILUX WC;01013505;131-06-005-0073;3402909000;5902986212086;5902986212093;SILUX WC GEL DVOJITÁ SÍLA 750ml;750ml;1080;8;152;19;4;608;76;0.86;6.88;522.88;0.24;0.19;0.3;6.1;9.3;29
1013506;SILUX WC;01013506;131-06-005-0074;3402909000;5902986212116;5902986212109;SILUX WC GEL REZ A KÁMEN LESNÍ 750ml;750ml;1080;8;152;19;4;608;76;0.86;6.88;522.88;0.24;0.19;0.3;6.1;9.3;29
6000004;SILUX HOUBIČKY;06000004;;39249000;5908259897400;;SILUX HOUBIČKY 10ks;10ks;;40;240;6;7;1680;42;0.034;1.496;62.832;0.48;0.4;0.19;24;8;4.7
2000254;SILUX HOUBIČKY;02000254;;34011900;;;MELAMINOVÁ HOUBIČKA BÍLÁ 1ks;1ks;;300;1200;4;7;8400;28;0.005;1.5;42;0.6;0.4;0.26;10.5;6.2;2.5
6000003;SILUX HOUBIČKY;06000003;;39249000;5908259897448;5908259897455;SILUX HOUBIČKY KYTIČKY 4KS+PŘÍSAVKA;4ks;;24;192;8;8;1536;64;0.039;1.215;77.76;0.395;0.3;0.23;18;9;5
6000002;SILUX HOUBIČKY;06000002;;39249000;5908259897424;5908259897431;SILUX HOUBIČKY JABLÍČKA 4ks+PŘÍSAVKA;4ks;;24;192;8;8;1536;64;0.039;1.215;77.76;0.395;0.3;0.23;18;9;5
6000001;SILUX HOUBIČKY;06000001;;39249000;;5908259897455;SILUX HOUBIČKY MIX JABL/KYT 4ks+PŘÍSAVKA;4ks;;24;192;8;8;1536;64;0.039;1.215;77.76;0.395;0.3;0.23;18;9;5
1015000;SIDOLUX ECO;01015000;131-01-072-0011;34025090;5902986211263;5902986211270;SDX ECO PODLAHY 1000ml;1000ml;1080;8;96;12;5;480;60;1.1;9;540;0.33;0.275;0.265;8;8;25
1015001;SIDOLUX ECO;01015001;131-01-072-0012;34025090;5902986211287;5902986211294;SDX ECO UNIVERZÁLNÍ ČISTIČ POVRCHŮ 500ml;500ml;1080;8;160;20;5;800;100;0.56;4.68;468;0.27;0.145;0.245;9.5;6.5;23.5
1015002;SIDOLUX ECO;01015002;131-01-072-0007;34025090;5902986211041;5902986211058;SDX ECO SKLA A ZRCADLA 500ml;500ml;1080;8;160;20;5;800;100;0.56;4.68;468;0.27;0.145;0.245;9.5;6.5;23.5
1015004;SIDOLUX ECO;01015004;131-01-072-0009;34025090;5902986211003;5902986211010;SDX ECO KUCHYNĚ 500ml;500ml;1080;8;160;20;5;800;100;0.56;4.68;468;0.27;0.145;0.245;9.5;6.5;23.5
1015005;SIDOLUX ECO;01015005;131-01-072-0010;34025090;5902986210983;5902986210990;SDX ECO KOUPELNA 500ml;500ml;1080;8;160;20;5;800;100;0.56;4.68;468;0.27;0.145;0.245;9.5;6.5;23.5
1015003;SIDOLUX ECO;01015003;131-01-072-0008;34025090;5902986211027;5902986211034;SDX ECO TOALETA 750ml;750ml;1080;8;144;18;5;720;90;0.86;6.88;619.2;0.25;0.18;0.265;9;6;25
1014009;PRIVÁTKA;01014009;121-03-011-0007;32091000;8590273707376;5902986282201;Q POWER LEŠTÍCÍ EMULZE NA PODLAHY 500ml;500ml;1080;15;210;14;4;840;56;0.553;8.695;486.92;0.29;0.23;0.235;9.5;4.5;23
1013511;SILUX SPREJ;01013511;121-06-004-0005;3405200000;5907542740904;5907542740911;SILUX SPRAY NA NÁBYTEK CLASSIC 330ml;300ml;1080;15;60;4;20;1200;80;0.32;5.2;416;0.27;0.165;0.245;5.2;5.2;24
1013510;SILUX SPREJ;01013510;121-06-004-0007;3405200000;5907542740928;5907542740935;SILUX ANTISTATIC SPRAY 300ml;300ml;1080;15;60;4;20;1200;80;0.32;5.2;416;0.27;0.165;0.245;5.2;5.2;24
5000011;SILUX UNI VZORKY;05000011;121-01-021-0443;3402509000;5902986216749;5902986216756;VZOREK SDX JAPANESE CHERRY 35ml;35ml;1080;150;2100;14;5;10500;70;0.038;6.65;465.5;0.262;0.222;0.271;9;1;15
5000012;SILUX UNI VZORKY;05000012;121-01-021-0442;3402509000;5902986216725;5902986216732;VZOREK SDX MARSEILL 35ml;35ml;1080;150;2100;14;5;10500;70;0.038;6.65;465.5;0.262;0.222;0.271;9;1;15
5000013;SILUX UNI VZORKY;05000013;121-01-021-0457;3402509000;5902986217647;5902986217654;VZOREK SDX MARSEILL+LEV 35ml;35ml;1080;150;2100;14;5;10500;70;0.038;6.65;465.5;0.262;0.222;0.271;9;1;15
5000020;PENNY MIX 500ml;05000020;121-99-001-0105;3402509000;5902986218156;/;SDX MIX 15 KS KARTON PENNY;500ml;1080;15;120;8;5;600;40;0.56;8.13;325.2;0.34;0.27;0.273;9.5;6.5;23.5
5000015;utěrka MIKROVLÁKNO;05000015;;;5902986216749;;UTĚRKA MIKRO 40X40 CM;;;200;1200;6;4;4800;24;0.048;9.9;237.6;0.42;0.42;0.33;22;22;0.6
