market;category_id;name;path;depth;source_url
CZ;2741;Zemědělské pneumatiky;Heureka.cz | Auto-moto | Pneumatiky | Zemědělské pneumatiky;4;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1276;Autokoberce;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autodoplňky do interiéru | Autokoberce;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1277;Autopotahy;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autodoplňky do interiéru | Autopotahy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2813;Clony do auta;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autodoplňky do interiéru | Clony do auta;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;7020;Návleky na bezpečnostní pásy;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autodoplňky do interiéru | Návleky na bezpečnostní pásy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1275;Vany do kufru;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autodoplňky do interiéru | Vany do kufru;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;8296;Autoklíče;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autoklíče;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3991;Autonavijáky;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Autonavijáky;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5554;Měřiče tloušťky laku;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Měřiče tloušťky laku;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5553;Plachty na auto;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Plachty na auto;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
